tiempo,id_jugador,equipo,posicion_x,posicion_y,velocidad,aceleracion,frecuencia_cardiaca,pase_exitoso,distancia_al_balon,posesion_equipo,presion_rival,formacion,zona_controlada,categoria_jugador
0,2,Local,12.137906975613678,36.363233662445005,6.286347033129193,1.8150796179437578,151,0,19.154198071003083,67.68075613994324,2.0280814947225023,5-3-2,defensa,Titular
1,15,Visitante,67.3841652925092,10.493596970986186,6.74177761366882,5.824593957297046,151,0,5.619286807882733,56.77259008047203,4.711944438905853,3-5-2,defensa,Reservista
2,9,Visitante,90.90958510768765,14.068884571418849,3.4636015348630296,5.7269393447757775,150,0,15.741571637375412,35.59006727960977,7.701627336032603,4-4-2,ataque,Reservista
3,4,Local,23.996734631237192,22.625699478906075,0.5786493581751673,4.700711962456546,163,1,19.52835494744314,59.68083438375841,5.2523654125959975,4-3-3,defensa,Titular
4,5,Local,53.34291492907192,43.13140209741445,3.845003501318602,4.184491514978106,105,0,18.639171378764672,66.17143871863928,6.3104521724421305,4-3-3,ataque,Suplente
5,12,Local,90.04488481432067,4.513753090315925,6.52686451670011,3.126088307389616,111,0,5.62172504636985,42.45545161569745,4.941000690541635,4-3-3,ataque,Reservista
6,1,Local,58.14126935695059,30.656663134376615,2.5759496376702935,4.241231303875502,131,0,6.5330897429993655,67.65332088767215,2.821891488510687,5-3-2,defensa,Suplente
7,18,Local,20.014384752267766,14.201696846074075,7.717971472855154,5.853090258173223,83,1,0.3560245760037639,63.25381159143024,2.8174209575992797,4-3-3,ataque,Titular
8,3,Visitante,57.02044263153701,23.498918807482273,1.1161723961346208,0.6585711940652026,145,1,19.54470036036627,62.77451041645146,1.9874249078534776,4-4-2,ataque,Suplente
9,10,Visitante,87.51805317874285,8.95119266564875,4.227270903049535,2.751866127602275,172,1,3.4253716172680937,49.80584775023732,8.211942213895066,3-5-2,ataque,Reservista
10,19,Visitante,8.863617547475366,46.827666886753185,10.464001118927468,5.5785730391577255,123,1,8.185743963227228,57.255881608228385,4.709242048614583,4-3-3,ataque,Titular
11,6,Visitante,76.73200892713396,17.184085075568113,7.911037727536591,5.340585918587351,97,0,3.596115200877099,47.54635878256199,1.9851114230086357,4-4-2,mediocampo,Reservista
12,16,Visitante,61.97809610933462,32.79457456025733,2.5010323536027865,3.2170178532930094,78,1,10.796009216493989,36.79188276927711,9.116075884537604,5-3-2,defensa,Suplente
13,11,Visitante,10.212941758185767,28.84016331432993,9.827332346895684,4.45406257714286,109,0,11.310704853176167,61.22281762926093,6.56544676297507,4-4-2,mediocampo,Titular
14,10,Local,85.77773989730018,7.6622342142514395,6.620063859428129,5.014730708226214,75,0,17.554986544636584,45.35156172585127,1.7913437568914272,4-3-3,defensa,Reservista
15,6,Visitante,99.95246278321032,22.466407477783175,2.100486848348969,1.3247991769854315,148,0,5.237970610440468,60.702089388695974,8.360782663473085,4-4-2,mediocampo,Reservista
16,16,Visitante,26.8406863104376,10.07507611975682,7.984506647339332,5.740607623954932,97,0,16.57143692967146,32.761152586448844,2.1655059743524494,4-4-2,defensa,Titular
17,18,Visitante,34.01068736739216,11.936420110204383,4.783203820241777,3.1244213353098784,67,1,7.001838671650258,64.17816414486643,4.449676342639886,4-3-3,mediocampo,Suplente
18,14,Local,45.00556544772786,46.40188438240881,4.538852669618622,5.032098143581067,86,0,15.537226715700022,44.5009293750816,8.419787757758932,5-3-2,mediocampo,Suplente
19,17,Local,18.835071661507307,8.9795014916834,0.293798322356281,0.2100695180833354,85,1,3.5901400505576864,50.96968101178605,2.848233263968974,4-4-2,mediocampo,Titular
20,4,Visitante,16.36194983366267,27.72565702832236,11.157807581244933,0.405985249408088,78,0,10.324081793552207,49.84633405662602,2.805913104510319,4-3-3,mediocampo,Titular
21,6,Local,8.417868664107042,27.38233240556223,3.144444905922667,5.196466181011695,146,1,2.1882065395774752,52.354585997347854,6.779263399549387,4-4-2,ataque,Titular
22,11,Local,39.19476201515619,7.612503478150673,4.475050469564556,5.9552358628319855,152,1,12.885102285853268,46.74939427810858,9.439396208313614,3-5-2,mediocampo,Suplente
23,6,Local,97.1160059645371,40.815580412918614,11.025302955237162,2.774115941160341,77,0,0.2318675496317124,64.8102204782783,1.991139470514554,5-3-2,ataque,Reservista
24,13,Visitante,72.87040465876386,25.664644446353396,2.6468352056269193,2.275087374070797,108,0,16.063135419081036,57.24844233502778,2.9186348850970423,3-5-2,mediocampo,Reservista
25,18,Local,19.098408189642836,43.89808383552507,6.665699423976788,2.441085366944463,67,1,11.872301876580204,46.46840494906843,1.5939255086431616,5-3-2,mediocampo,Titular
26,4,Local,68.43798758190263,23.70521708441936,9.556013662199081,0.7587672646501189,69,1,0.9809276805021461,47.547495946924194,8.270227734227266,5-3-2,defensa,Reservista
27,9,Local,97.76322423856256,17.887759675297026,5.552886702832675,5.771275757004185,118,1,2.4715763127027213,69.7336170422233,5.8733495259022,3-5-2,mediocampo,Reservista
28,4,Visitante,29.99779137936429,3.5642999098941477,10.951410355215046,2.7355589010689556,77,0,16.95395199353236,57.23205834622245,5.654261887312568,4-4-2,defensa,Titular
29,20,Local,51.024030893532,1.6563363965745759,6.8064310223638795,4.601896113146449,84,0,3.257617454231201,41.10721073021942,9.393783552804416,5-3-2,mediocampo,Suplente
30,9,Local,42.87894078927267,16.80593005655655,5.040827993951227,0.447165671533047,136,1,13.388281092978522,39.66492324686254,6.602495164014613,3-5-2,mediocampo,Suplente
