tiempo,id_jugador,equipo,posicion_x,posicion_y,velocidad,aceleracion,frecuencia_cardiaca,pase_exitoso,distancia_al_balon,posesion_equipo,presion_rival,formacion,zona_controlada,categoria_jugador
0,2,0,-1.3363733445557548,0.770648580782106,0.07744444437992996,-0.6876400188529124,0.8967744614255211,0,1.5783579322018098,1.5238296385691024,-1.3614745407249222,3,1,2
1,15,1,0.5685486853943023,-1.0153400809970556,0.20869606773568922,1.6491930175523195,0.8967744614255211,0,-0.7667978490673761,0.5604793694681345,-0.3319619037459045,0,1,0
2,9,1,1.3797183796874608,-0.768509281124223,-0.7360493015354462,1.5922777641368995,0.868153999890664,0,0.9870618051307167,-1.3102465554209537,0.8148613086028104,2,0,0
3,4,0,-0.9274743034478493,-0.17776366733828383,-1.5674705382151526,0.9941699019627375,1.240219999843806,1,1.6431870356090774,0.8173197876381257,-0.12465987928585806,1,1,2
4,5,0,0.08439848300537506,1.2379095721147755,-0.626132160729797,0.693305285045048,-0.4197667691779037,0,1.4891207143633822,1.390534881591188,0.2812154254284201,1,0,1
5,12,0,1.349903027692206,-1.428176700910342,0.1467597506264289,0.07644464507811917,-0.24804399996876134,0,-0.7663753823830355,-0.7039329174002793,-0.24409739257585358,1,0,0
6,1,0,0.249848439900992,0.37667821380983824,-0.9918638152277895,0.7263744804517613,0.32436523072837986,0,-0.6084657998526353,1.5214067053726226,-1.056974110948378,3,1,1
7,18,0,-1.0647879649795264,-0.7593401837956295,0.49002770026751374,1.6658012876984576,-1.049416922944759,1,-1.678748405038817,1.132865823125336,-1.058688977975129,1,0,2
8,3,1,0.21120170460988624,-0.11747832824813663,-1.4125604940988703,-1.3616785340104016,0.7250516922163788,1,1.6460191590614386,1.0905365339140385,-1.3770701470686852,2,0,1
9,10,1,1.2627764530565646,-1.1218246302030186,-0.5159656080715977,-0.14166026206724042,1.4978041536575193,1,-1.146931327068329,-0.054785658768340253,1.0106148275134683,0,0,0
10,19,1,-1.4492726838796226,1.4930923983533864,1.2814125220837824,1.5058066219701949,0.0954015384495234,1,-0.32211507884223567,0.6031610650693913,-0.33299852335457014,1,0,2
11,6,1,0.8908675865221164,-0.5534419863671906,0.5456679238821208,1.3671025000945496,-0.6487304614567602,0,-1.1173470694081893,-0.2543315121385094,-1.3779575850387893,2,2,0
12,16,1,0.3821443822577411,0.5242753993463379,-1.013454405696295,0.1294403819350294,-1.1925192306190444,1,0.1301581965669869,-1.2041087070357535,1.357434713179407,3,1,1
13,11,1,-1.4027472269014594,0.2512706512135538,1.0979294328057696,0.8504172219054739,-0.30528492303847543,0,0.21933805334581616,0.9534994136545679,0.37902971728110324,2,2,2
14,10,0,1.2027694732205934,-1.21081177784472,0.17361909110867804,1.1771869252372957,-1.2783806152236155,0,1.3012670755554328,-0.44816412558396146,-1.4522856208045267,1,1,0
15,6,1,1.6915218831833465,-0.1887608727227548,-1.1288885685277084,-0.9733862301308438,0.8109130768209499,0,-0.8328674277693757,0.9075115099188001,1.067709070744594,2,2,0
16,16,1,-0.8294132515165636,-1.0442339345879952,0.5668411068047041,1.6002439375018787,-0.6487304614567602,0,1.130850216452303,-1.560081011191273,-1.3087593904539587,2,1,2
